Timestamp,Central America,Africa,Middle East,Oceania,South America,Russia,Asia,Europe,North America
2024-06-12 16:50:00,63,124,932,176,1152,1948,6941,7953,4087
2024-06-12 17:00:00,62,122,932,176,1152,1902,6444,7941,4087
2024-06-12 17:10:00,63,124,932,177,1162,1931,6444,7953,4130
2024-06-12 17:20:00,62,122,943,180,1175,1931,6025,8061,4206
2024-06-12 17:30:00,61,120,943,180,1175,1950,5663,8061,4219
2024-06-12 17:40:00,60,119,943,177,1175,1950,5313,7987,4222
2024-06-12 17:50:00,60,118,937,173,1173,1936,4975,7987,4312
2024-06-12 18:00:00,61,117,944,173,1167,1893,4677,8054,4322
2024-06-12 18:10:00,61,112,946,173,1173,1893,4422,8073,4415
2024-06-12 18:20:00,61,112,949,173,1170,1878,4212,8140,4508
2024-06-12 18:30:00,63,112,950,165,1176,1875,4002,8140,4534
2024-06-12 18:40:00,63,112,950,161,1179,1833,3813,8049,4536
2024-06-12 18:50:00,61,110,946,156,1193,1812,3682,8005,4596
2024-06-12 19:00:00,61,110,931,156,1216,1799,3498,7851,4631
2024-06-12 19:10:00,61,108,924,152,1244,1737,3373,7817,4667
2024-06-12 19:20:00,61,108,906,150,1263,1737,3216,7752,4710
2024-06-12 19:30:00,61,106,904,150,1263,1706,3046,7713,4755
2024-06-12 19:40:00,61,103,902,148,1241,1658,2911,7474,4822
2024-06-12 19:50:00,64,102,894,143,1240,1598,2807,7366,4892
2024-06-12 20:00:00,65,99,888,141,1241,1577,2673,7120,4972
2024-06-12 20:10:00,65,99,866,141,1253,1542,2571,6909,5039
2024-06-12 20:20:00,65,98,848,142,1286,1499,2470,6751,5156
2024-06-12 20:30:00,66,96,841,143,1327,1424,2369,6503,5190
2024-06-12 20:40:00,67,92,813,144,1350,1378,2264,6259,5228
2024-06-12 20:50:00,68,87,810,146,1397,1327,2204,6052,5314
2024-06-12 21:00:00,68,86,809,148,1440,1288,2104,5803,5409
2024-06-12 21:10:00,68,83,804,148,1480,1229,2007,5497,5425
2024-06-12 21:20:00,69,78,785,152,1519,1166,1914,5249,5566
2024-06-12 21:30:00,68,74,770,158,1566,1120,1880,4967,5739
2024-06-12 21:40:00,68,74,742,162,1604,1075,1781,4702,5761
2024-06-12 21:50:00,68,73,728,165,1664,1028,1740,4478,5866
2024-06-12 22:00:00,71,73,713,171,1694,965,1673,4236,5974
2024-06-12 22:10:00,71,71,695,177,1707,910,1646,4001,6034
2024-06-12 22:20:00,71,70,673,179,1762,870,1630,3812,6189
2024-06-12 22:30:00,74,68,646,181,1768,824,1626,3541,6211
2024-06-12 22:40:00,77,63,640,196,1769,789,1594,3364,6404
2024-06-12 22:50:00,77,60,607,196,1769,722,1572,3071,6404
2024-06-12 23:00:00,77,60,601,199,1769,689,1572,2875,6404
2024-06-12 23:10:00,75,60,582,227,1839,681,1696,2836,6872
2024-06-12 23:20:00,78,60,582,229,1839,649,1714,2596,6872
2024-06-12 23:30:00,78,59,578,230,1811,638,1778,2455,6778
2024-06-12 23:40:00,87,55,573,232,1808,598,1874,2316,6778
2024-06-12 23:50:00,88,53,550,234,1804,564,1981,2197,6903
2024-06-13 00:00:00,89,53,531,239,1804,540,2116,2059,6921
2024-06-13 00:10:00,90,53,508,239,1810,519,2303,1929,6984
2024-06-13 00:20:00,92,50,506,249,1822,517,2478,1848,7009
2024-06-13 00:30:00,92,49,491,249,1822,499,2684,1773,7035
2024-06-13 00:40:00,92,48,481,256,1763,483,2897,1687,7039
2024-06-13 00:50:00,92,47,466,257,1711,469,3074,1602,7061
2024-06-13 01:00:00,90,46,455,258,1686,457,3259,1514,7061
2024-06-13 01:10:00,85,45,441,260,1686,437,3429,1470,7061
2024-06-13 01:20:00,85,44,437,262,1682,434,3577,1396,7088
2024-06-13 01:30:00,85,44,427,272,1682,429,3754,1349,7088
2024-06-13 01:40:00,85,41,403,280,1658,408,3895,1278,7040
2024-06-13 01:50:00,85,41,396,281,1641,396,4061,1251,7038
2024-06-13 02:00:00,85,39,381,285,1616,396,4262,1220,7006
2024-06-13 02:10:00,85,39,377,296,1591,402,4447,1192,6975
2024-06-13 02:20:00,85,39,355,301,1544,402,4617,1147,6895
2024-06-13 02:30:00,84,38,350,303,1518,391,4774,1109,6783
2024-06-13 02:40:00,84,38,337,306,1480,391,4907,1066,6633
2024-06-13 02:50:00,83,37,321,307,1434,385,5000,1017,6524
2024-06-13 03:00:00,83,37,307,310,1361,385,5049,1005,6425
2024-06-13 03:10:00,81,37,282,310,1348,385,5185,970,6349
2024-06-13 03:20:00,79,37,277,322,1279,390,5272,943,6280
2024-06-13 03:30:00,79,34,269,322,1224,390,5357,940,6161
2024-06-13 03:40:00,79,34,264,322,1172,389,5473,911,5981
2024-06-13 03:50:00,73,35,260,322,1114,389,5628,909,5875
2024-06-13 04:00:00,71,35,247,334,1046,394,5887,901,5741
2024-06-13 04:10:00,68,35,247,336,1000,416,6133,901,5625
2024-06-13 04:20:00,68,37,252,348,1000,436,6470,966,5469
2024-06-13 04:30:00,67,40,257,363,1000,455,6776,998,5327
2024-06-13 04:40:00,64,42,258,363,983,477,6976,1002,5153
2024-06-13 04:50:00,64,44,260,362,954,495,7066,1023,5007
2024-06-13 05:00:00,64,44,266,362,894,513,7109,1044,4791
2024-06-13 05:10:00,61,45,281,372,828,544,7109,1070,4666
2024-06-13 05:20:00,61,45,299,382,790,558,7055,1144,4509
2024-06-13 05:30:00,61,45,302,402,751,577,7043,1178,4301
2024-06-13 05:40:00,59,46,316,404,700,608,6967,1222,4131
2024-06-13 05:50:00,56,50,335,423,673,639,6925,1288,3972
2024-06-13 06:00:00,54,52,340,437,634,667,6915,1350,3775
2024-06-13 06:10:00,52,54,356,448,605,696,6869,1434,3682
2024-06-13 06:20:00,51,57,372,455,574,731,6869,1528,3519
2024-06-13 06:30:00,46,60,388,468,541,763,6861,1614,3377
2024-06-13 06:40:00,45,64,401,484,507,784,6865,1689,3284
2024-06-13 06:50:00,41,64,417,488,478,809,6865,1775,3188
